zotero_key,item_type,year,first_author,authors,title,journal,doi,url,work_id,is_seed,match,status
RE7ZAE2H,journalArticle,2024,Sasak,Sasak; Nowak; Wlodarczyk; Sarniak; Nowak,Effect of Selected Organic Solvents on Hydroxyl Radical-Dependent Light Emission in the Fe2+-EGTA-H2O2 System,Molecules,10.3390/molecules29235635,https://doi.org/10.3390/molecules29235635,W4404822394,1,doi,harvested
J7KFP6EC,journalArticle,2016,Gao,Gao; Mao; Shao; Huang; Zhu,"Why Does 2,3,5,6-Tetrachlorophenol Generate the Strongest Intrinsic Chemiluminescence among All Nineteen Chlorophenolic Persistent Organic Pollutants during Environmentally-friendly Advanced Oxidation Process?",Scientific Reports,10.1038/srep33159,https://doi.org/10.1038/srep33159,W2537343691,1,doi,harvested
M9BNGHW2,journalArticle,1996,Brenner,Brenner; Rosales; Hilgenfeldt; Lohse,Acoustic energy storage in single bubble sonoluminescence,The Journal of the Acoustical Society of America,10.1121/1.416947,https://doi.org/10.1121/1.416947,W2043391374,1,doi,in-universe
SYHTNAWQ,bookSection,2018,Sergey I. Nikitenko,Sergey I. Nikitenko; Rachel Pflieger,Spectroscopic Studies of Nonequilibrium Plasma Generated by Acoustic Cavitation in Aqueous Solutions,,10.1115/1.861851_ch180,https://doi.org/10.1115/1.861851_ch180,W2918781444,1,doi,in-universe
ECTRVSDA,journalArticle,2015,Claire Margaret Frances Whitfield,Claire Margaret Frances Whitfield,Investigation of Cavitating Flow Luminescence for Analytical Spectroscopy,PEARL (University of Plymouth),10.24382/1374,,W2208093563,1,doi,in-universe
UDXS9MAG,journalArticle,2021,Yamawaki,Yamawaki; Okumura; Akamatsu; Nishiuchi; Hata,Study on the Method of Identifying Ultrafine Bubbles Using Ultrasound under the Presence of Solid Nanoparticles,MATEC Web of Conferences,10.1051/matecconf/202133301001,https://doi.org/10.1051/matecconf/202133301001,W3118768779,1,doi,harvested
Y9XRDGDB,journalArticle,2016,. Mohamed,. Mohamed,SONOCHEMISTRY (APPLICATIONS OF ULTRASOUND IN CHEMICAL SYNTHESIS AND REACTIONS): A REVIEW PART I,Al-Azhar Journal of Pharmaceutical Sciences,10.21608/ajps.2016.6890,https://doi.org/10.21608/ajps.2016.6890,W2803488655,1,doi,in-universe
JWT93XEG,journalArticle,2017,Tatartchenko,Tatartchenko,"Sonoluminescence as the PeTa Radiation, Part Two",Optics and Photonics Journal,10.4236/opj.2017.711019,https://doi.org/10.4236/opj.2017.711019,W2768093994,1,doi,harvested
KQVCVWDQ,journalArticle,2016,M.,M.,Particle model of single bubble sonoluminescence,International Journal of Physical Sciences,10.5897/ijps2016.4535,https://doi.org/10.5897/ijps2016.4535,W3098120692,1,doi,harvested
WF6SNDAN,journalArticle,2012,Hauptmann,Hauptmann; Brems; Struyf; Mertens; Heyns; De Gendt; Glorieux,Time-resolved monitoring of cavitation activity in megasonic cleaning systems,Review of Scientific Instruments,10.1063/1.3697710,https://doi.org/10.1063/1.3697710,W1989302971,1,doi,in-universe
